,type,address,zip,price,date
4348,RESIDENTIAL,104 WEST 70TH STREET,10023,3670000,1/12/2017
4349,RESIDENTIAL,104 WEST 70TH   STREET,10023,0,1/12/2017
4350,RESIDENTIAL,104 WEST 70TH   STREET,10023,1550000,4/11/2017
4351,RESIDENTIAL,104 WEST 70TH STREET,10023,1875000,12/7/2017
4352,RESIDENTIAL,104 WEST 70TH   STREET,10023,1250000,7/28/2017
4353,RESIDENTIAL,104 WEST 70TH STREET,10023,1365000,7/17/2017
4354,RESIDENTIAL,104 WEST 70TH   STREET,10023,1650000,11/15/2017
4355,RESIDENTIAL,104 WEST 70TH STREET,10023,1900000,9/12/2017
4356,RESIDENTIAL,135 WEST 70TH STREET,10023,2200000,12/18/2017
4357,RESIDENTIAL,135 WEST 70TH STREET,10023,3530000,9/29/2017
4358,RESIDENTIAL,135 WEST 70TH STREET,10023,0,9/29/2017
4359,RESIDENTIAL,135 WEST 70TH STREET,10023,840000,1/29/2017
4360,RESIDENTIAL,135 W 70TH ST,10023,694454,2/15/2017
4361,RESIDENTIAL,135 WEST 70TH ST,10023,1995000,12/18/2017
4362,RESIDENTIAL,135 WEST 70TH   STREET,10023,0,7/31/2017
4363,RESIDENTIAL,155 WEST 70TH   STREET,10023,2600000,10/10/2017
4364,RESIDENTIAL,155 WEST 70TH   STREET,10023,2250000,3/10/2017
4365,RESIDENTIAL,155 WEST 71ST STREET,10023,0,3/8/2017
4366,RESIDENTIAL,155 WEST 71ST STREET,10023,650000,3/8/2017
4367,RESIDENTIAL,155 WEST 71ST STREET,10023,0,12/27/2017
4368,RESIDENTIAL,155 WEST 71ST   STREET,10023,835000,7/27/2017
4369,RESIDENTIAL,155 WEST 71ST STREET,10023,268000,12/21/2017
4370,RESIDENTIAL,112 W 72 ST,10023,1555000,10/31/2017
4371,RESIDENTIAL,112 WEST 72ND STREET,10023,921516,6/8/2017
4372,RESIDENTIAL,112 WEST 72ND STREET,10023,604000,8/16/2017
4373,RESIDENTIAL,120 WEST 72ND   STREET,10023,10395000,10/30/2017
